mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_classifier;param_classifier__C;param_vectorizer__tfidf__max_features;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
3.7552552223205566;0.6491296546858919;1.0802591800689698;0.29247893338022957;LinearSVC(max_iter=2000, random_state=42);0.1;5000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'vectorizer__tfidf__max_features': 5000};0.9039515900020572;0.898449726703351;0.8979856059835184;0.9013119855708289;0.9055856752338455;0.9014569166987201;0.002979403856925318;3
4.083699321746826;0.7776051170110707;1.2094979763031006;0.31378933584979196;LinearSVC(max_iter=2000, random_state=42);0.1;10000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'vectorizer__tfidf__max_features': 10000};0.9023364112830887;0.8987310266603443;0.8974840665825602;0.9009873313765793;0.9012365996982574;0.900155087120166;0.001776669579195462;5
3.716578245162964;0.6712082753554841;1.103746509552002;0.2647258703167622;LinearSVC(max_iter=2000, random_state=42);0.1;20000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 0.1, 'vectorizer__tfidf__max_features': 20000};0.8997460021257726;0.8962797589684677;0.8939144220362494;0.9000327175691334;0.8983891306358827;0.8976724062671011;0.002299846735159866;6
4.794554042816162;1.085137577158258;0.9355145931243897;0.11890493416512733;LinearSVC(max_iter=2000, random_state=42);1.0;5000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 1.0, 'vectorizer__tfidf__max_features': 5000};0.9044686150246871;0.9024582690994603;0.9009136649008244;0.9032000469402932;0.9062609409315578;0.9034603073793646;0.0018120395539463951;1
4.872003364562988;0.9699536705535811;1.2485335350036622;0.4703205174530159;LinearSVC(max_iter=2000, random_state=42);1.0;10000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 1.0, 'vectorizer__tfidf__max_features': 10000};0.9069297034433166;0.9020383679098956;0.900498162752887;0.9013448331139808;0.9062472330790928;0.9034116600598345;0.0026481418053566955;2
4.138786745071411;0.5714022212870445;1.2915003776550293;0.31357478159401003;LinearSVC(max_iter=2000, random_state=42);1.0;20000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 1.0, 'vectorizer__tfidf__max_features': 20000};0.9036473611760423;0.898749018303384;0.8968112933448676;0.9009028404222008;0.900837228585014;0.9001895483663018;0.0022966270268347873;4
4.097234725952148;0.6331748974235796;0.9520762920379638;0.09801089027241032;LinearSVC(max_iter=2000, random_state=42);10.0;5000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 10.0, 'vectorizer__tfidf__max_features': 5000};0.8852311960871716;0.88144251322202;0.8834956551383264;0.8851845192571275;0.882826435059082;0.8836360637527456;0.0014442325813271786;7
5.276373672485351;0.5167611085031801;0.864766263961792;0.07457730820684727;LinearSVC(max_iter=2000, random_state=42);10.0;10000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 10.0, 'vectorizer__tfidf__max_features': 10000};0.8752571067681005;0.8732312939495472;0.8736112720580174;0.8771650081006818;0.8771834658548912;0.8752896293462475;0.001682756530482575;9
4.344352912902832;0.4509721989410043;0.8345682144165039;0.14253045631335204;LinearSVC(max_iter=2000, random_state=42);10.0;20000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 10.0, 'vectorizer__tfidf__max_features': 20000};0.8805147915859687;0.8788815740820042;0.8791966143819205;0.8798318585711344;0.880352679888248;0.8797555037018553;0.0006348350662981274;8
4.120220470428467;0.34610228761576717;0.8637061595916748;0.10870641411486458;LinearSVC(max_iter=2000, random_state=42);100.0;5000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 100.0, 'vectorizer__tfidf__max_features': 5000};0.8686882775818324;0.8619017522210488;0.8625274118397701;0.8633723361426844;0.8657448444904916;0.8644469244551655;0.0024896121459572706;10
10.266083812713623;0.8733936050421237;1.0913682937622071;0.1784331276551384;LinearSVC(max_iter=2000, random_state=42);100.0;10000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 100.0, 'vectorizer__tfidf__max_features': 10000};0.8566059879214541;0.8499109869635186;0.8505941562076325;0.8506125076172621;0.851301447184603;0.8518050171788939;0.0024404309706742983;12
12.519923686981201;1.4345846268477758;0.774586820602417;0.3356671613625244;LinearSVC(max_iter=2000, random_state=42);100.0;20000;{'classifier': LinearSVC(max_iter=2000, random_state=42), 'classifier__C': 100.0, 'vectorizer__tfidf__max_features': 20000};0.8608310994028636;0.8571135234371683;0.8608853738727732;0.8570337205044807;0.8570578097928123;0.8585843054020197;0.0018569168719607106;11
