Modelo;F1-Score Macro;Tiempo (min);RAM Pico (GB);Mejor C;max_features;Malla
SVM (LinearSVC);0.9035;1.21;2.134;1.0;5000;ampliada
Reg. Logistica;0.9041;0.67;2.031;10.0;5000;ampliada
